id,type,x,y,key,lon,lat,OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,GEOID_Data,nodes_tract,pop_tract,median_inc,stops_tract
"1",FWJCT,"2915","18009","0",6330272.000029999762774,2194647.999844000209123,4507,"06","019","004408","1","060190044081",Block Group 1,G5030,S,639591.000000000000000,0.000000000000000,"+36.8557055","-119.7935743",0.036036195467174,0.000064626525369,15000US060190044081,9.000000000000000,1842.000000000000000,93828.000000000000000,1.000000000000000
"2",FWJCT,"8229","53731","1",6330237.000029999762774,2194408.999844000209123,4507,"06","019","004408","1","060190044081",Block Group 1,G5030,S,639591.000000000000000,0.000000000000000,"+36.8557055","-119.7935743",0.036036195467174,0.000064626525369,15000US060190044081,9.000000000000000,1842.000000000000000,93828.000000000000000,1.000000000000000
"3",FWJCT,"8330","53898","2",6330310.000029999762774,2196551.999844000209123,7257,"06","019","004408","2","060190044082",Block Group 2,G5030,S,4548519.000000000000000,29341.000000000000000,"+36.8626333","-119.7952018",0.126487835456578,0.000462606117763,15000US060190044082,54.000000000000000,1849.000000000000000,66653.000000000000000,1.000000000000000
"4",FWJCT,"6017","49262","3",6330383.000029999762774,2195842.999844000209123,4507,"06","019","004408","1","060190044081",Block Group 1,G5030,S,639591.000000000000000,0.000000000000000,"+36.8557055","-119.7935743",0.036036195467174,0.000064626525369,15000US060190044081,9.000000000000000,1842.000000000000000,93828.000000000000000,1.000000000000000
"5",FWJCT,"4654","46478","4",6330724.000029999762774,2195372.999844000209123,7257,"06","019","004408","2","060190044082",Block Group 2,G5030,S,4548519.000000000000000,29341.000000000000000,"+36.8626333","-119.7952018",0.126487835456578,0.000462606117763,15000US060190044082,54.000000000000000,1849.000000000000000,66653.000000000000000,1.000000000000000
"6",FWJCT,"4664","34284","5",6330671.000029999762774,2195135.999844000209123,4507,"06","019","004408","1","060190044081",Block Group 1,G5030,S,639591.000000000000000,0.000000000000000,"+36.8557055","-119.7935743",0.036036195467174,0.000064626525369,15000US060190044081,9.000000000000000,1842.000000000000000,93828.000000000000000,1.000000000000000
"7",FWJCT,"5241","29005","6",6332265.000029999762774,2195517.999844000209123,7257,"06","019","004408","2","060190044082",Block Group 2,G5030,S,4548519.000000000000000,29341.000000000000000,"+36.8626333","-119.7952018",0.126487835456578,0.000462606117763,15000US060190044082,54.000000000000000,1849.000000000000000,66653.000000000000000,1.000000000000000
"8",FWJCT,"4096","16907","7",6332054.000029999762774,2195492.999844000209123,7257,"06","019","004408","2","060190044082",Block Group 2,G5030,S,4548519.000000000000000,29341.000000000000000,"+36.8626333","-119.7952018",0.126487835456578,0.000462606117763,15000US060190044082,54.000000000000000,1849.000000000000000,66653.000000000000000,1.000000000000000
"9",FWJCT,"5299","54376","8",6331921.000029999762774,2195377.999844000209123,7257,"06","019","004408","2","060190044082",Block Group 2,G5030,S,4548519.000000000000000,29341.000000000000000,"+36.8626333","-119.7952018",0.126487835456578,0.000462606117763,15000US060190044082,54.000000000000000,1849.000000000000000,66653.000000000000000,1.000000000000000
"10",FWJCT,"4697","17164","9",6332244.000029999762774,2195819.999844000209123,7257,"06","019","004408","2","060190044082",Block Group 2,G5030,S,4548519.000000000000000,29341.000000000000000,"+36.8626333","-119.7952018",0.126487835456578,0.000462606117763,15000US060190044082,54.000000000000000,1849.000000000000000,66653.000000000000000,1.000000000000000
